Test Instrument:,Cary 5000 (2223)
619.400024400,0.279062390
619.500000000,0.293846428
619.599975600,0.306151748
619.700012200,0.323547453
619.799987800,0.342972547
619.900024400,0.357240319
620.000000000,0.376100749
620.099975600,0.398056537
620.200012200,0.416204482
620.299987800,0.438170314
620.400024400,0.466859579
620.500000000,0.490272611
620.599975600,0.516767025
620.700012200,0.545233011
620.799987800,0.578875959
620.900024400,0.610865355
621.000000000,0.645610750
621.099975600,0.681007206
621.200012200,0.722949803
621.299987800,0.765531302
621.400024400,0.813733220
621.500000000,0.868032753
621.599975600,0.910095990
621.700012200,0.974223733
621.799987800,1.028980613
621.900024400,1.097735047
622.000000000,1.168308258
622.099975600,1.247765899
622.200012200,1.322952151
622.299987800,1.415970683
622.400024400,1.504045844
622.500000000,1.598222733
622.599975600,1.724793911
622.700012200,1.837769389
622.799987800,1.969826460
622.900024400,2.085443974
623.000000000,2.253304243
623.099975600,2.417523861
623.200012200,2.594897509
623.299987800,2.763752222
623.400024400,2.985162735
623.500000000,3.207147837
623.599975600,3.457359314
623.700012200,3.702263832
623.799987800,3.974568129
623.900024400,4.307165146
624.000000000,4.643833160
624.099975600,5.026685238
624.200012200,5.376924038
624.299987800,5.834525108
624.400024400,6.294783115
624.500000000,6.802042007
624.599975600,7.325418472
624.700012200,7.953289986
624.799987800,8.600714684
624.900024400,9.311502457
625.000000000,10.081659320
625.099975600,10.906753540
625.200012200,11.819274900
625.299987800,12.756220820
625.400024400,13.859547620
625.500000000,14.851867680
625.599975600,16.144905090
625.700012200,17.368955610
625.799987800,18.788242340
625.900024400,20.063108440
626.000000000,21.765460970
626.099975600,23.318870540
626.200012200,25.073963170
626.299987800,26.794866560
626.400024400,28.541740420
626.500000000,30.406600950
626.599975600,32.504024510
626.700012200,34.470516200
626.799987800,36.431316380
626.900024400,38.489238740
627.000000000,40.444190980
627.099975600,42.481887820
627.200012200,44.448158260
627.299987800,46.564064030
627.400024400,48.452896120
627.500000000,50.343681340
627.599975600,52.141960140
627.700012200,53.762924190
627.799987800,55.461372380
627.900024400,56.941349030
628.000000000,58.397590640
628.099975600,59.679924010
628.200012200,60.945148470
628.299987800,61.964767460
628.400024400,62.993038180
628.500000000,63.859813690
628.599975600,64.729217530
628.700012200,65.420745850
628.799987800,66.064331050
628.900024400,66.542205810
629.000000000,67.009963990
629.099975600,67.463745120
629.200012200,67.837104800
629.299987800,68.153900150
629.400024400,68.471679690
629.500000000,68.701660160
629.599975600,68.953765870
629.700012200,69.109611510
629.799987800,69.250343320
629.900024400,69.366363530
630.000000000,69.465133670
630.099975600,69.611831670
630.200012200,69.678703310
630.299987800,69.711730960
630.400024400,69.809059140
630.500000000,69.821769710
630.599975600,69.863662720
630.700012200,69.947776790
630.799987800,69.924095150
630.900024400,69.862106320
631.000000000,69.992095950
631.099975600,70.010528560
631.200012200,70.064941410
631.299987800,69.941543580
631.400024400,69.959220890
631.500000000,69.845275880
631.599975600,69.746475220
631.700012200,69.721046450
631.799987800,69.728637700
631.900024400,69.595809940
632.000000000,69.554222110
632.099975600,69.382698060
632.200012200,69.289329530
632.299987800,69.190315250
632.400024400,69.081741330
632.500000000,68.990966800
632.599975600,68.901748660
632.700012200,68.710289000
632.799987800,68.571586610
632.900024400,68.532279970
633.000000000,68.378929140
633.099975600,68.348869320
633.200012200,68.177612300
633.299987800,68.075149540
633.400024400,67.991867070
633.500000000,67.972526550
633.599975600,67.977081300
633.700012200,67.952194210
633.799987800,67.886116030
633.900024400,67.815246580
634.000000000,67.869529720
634.099975600,67.962989810
634.200012200,68.022605900
634.299987800,67.988853450
634.400024400,68.086814880
634.500000000,68.105789180
634.599975600,68.194648740
634.700012200,68.220939640
634.799987800,68.338394170
634.900024400,68.443984990
635.000000000,68.495002750
635.099975600,68.472045900
635.200012200,68.515892030
635.299987800,68.416328430
635.400024400,68.196937560
635.500000000,68.082115170
635.599975600,67.761070250
635.700012200,67.363594060
635.799987800,66.893074040
635.900024400,66.275917050
636.000000000,65.552566530
636.099975600,64.698234560
636.200012200,63.768440250
636.299987800,62.709342960
636.400024400,61.343921660
636.500000000,60.057586670
636.599975600,58.393489840
636.700012200,56.766342160
636.799987800,54.845706940
636.900024400,52.930946350
637.000000000,50.811809540
637.099975600,48.585681920
637.200012200,46.548999790
637.299987800,44.115890500
637.400024400,41.830158230
637.500000000,39.511379240
637.599975600,37.360103610
637.700012200,35.036437990
637.799987800,32.911472320
637.900024400,30.726163860
638.000000000,28.727764130
638.099975600,26.644397740
638.200012200,24.716730120
638.299987800,22.917161940
638.400024400,21.224910740
638.500000000,19.693328860
638.599975600,18.071796420
638.700012200,16.689571380
638.799987800,15.404788020
638.900024400,14.291106220
639.000000000,13.079293250
639.099975600,12.109848980
639.200012200,11.135954860
639.299987800,10.230592730
639.400024400,9.455080032
639.500000000,8.716567993
639.599975600,8.004040718
639.700012200,7.365769386
639.799987800,6.839797020
639.900024400,6.271071911
640.000000000,5.808233738
640.099975600,5.363920212
640.200012200,4.999812126
640.299987800,4.603620529
640.400024400,4.282682419
640.500000000,3.968547583
640.599975600,3.687802792
640.700012200,3.422604084
640.799987800,3.189678431
640.900024400,2.959023237
641.000000000,2.755973339
641.099975600,2.577465296
641.200012200,2.389232397
641.299987800,2.235592842
641.400024400,2.084731340
641.500000000,1.964983940
641.599975600,1.836249232
641.700012200,1.714700699
641.799987800,1.612625480
641.900024400,1.514843702
642.000000000,1.414381742
642.099975600,1.329284549
642.200012200,1.254835248
642.299987800,1.178839922
642.400024400,1.112525344
642.500000000,1.043066263
642.599975600,0.983616412
642.700012200,0.930288792
642.799987800,0.877138019
642.900024400,0.823255718
643.000000000,0.778136671
643.099975600,0.736770451
643.200012200,0.696651399
643.299987800,0.661063254
643.400024400,0.621060491
643.500000000,0.591438890
643.599975600,0.561508477
643.700012200,0.532710850
643.799987800,0.505097151
643.900024400,0.477082133
644.000000000,0.452127785
644.099975600,0.433160007
644.200012200,0.407856643
644.299987800,0.389524639
644.400024400,0.369942993
644.500000000,0.352873862
644.599975600,0.336841494
644.700012200,0.321609527
644.799987800,0.303374916
644.900024400,0.290720731
645.000000000,0.280884623
645.099975600,0.266148210
645.200012200,0.251266182
645.299987800,0.242540613
645.400024400,0.231431350
645.500000000,0.220867336
645.599975600,0.211021841
645.700012200,0.200988099
645.799987800,0.193964764
645.900024400,0.184662655
646.000000000,0.177495524
646.099975600,0.170683458
646.200012200,0.163258836
646.299987800,0.155424029
646.400024400,0.145946816
646.500000000,0.142906293
646.599975600,0.137720436
646.700012200,0.132929906
646.799987800,0.126565576
646.900024400,0.121809937
647.000000000,0.115722008
647.099975600,0.112203598
647.200012200,0.107312351
647.299987800,0.104986705
647.400024400,0.099457696
647.500000000,0.096134163
647.599975600,0.092417762
647.700012200,0.089341313
647.799987800,0.088142760
647.900024400,0.082641542
648.000000000,0.081693932
648.099975600,0.076502472
648.200012200,0.073611595
648.299987800,0.071092255
648.400024400,0.069758564
648.500000000,0.067141823
648.599975600,0.064005055
648.700012200,0.061592188
648.799987800,0.058680940
648.900024400,0.057982873
649.000000000,0.055721287
649.099975600,0.053161640
649.200012200,0.051922701
649.299987800,0.049164269
649.400024400,0.048275858
649.500000000,0.046471741
649.599975600,0.044516157
649.700012200,0.044315677
649.799987800,0.041905425
649.900024400,0.041425578
650.000000000,0.038590498
