Test Instrument:,Cary 5000 (2223)
830.599975600,60.119337445
830.700012200,60.106320416
830.799987800,60.086309642
830.900024400,60.064364343
831.000000000,60.040885865
831.099975600,60.012079256
831.200012200,59.972191795
831.299987800,59.916343850
831.400024400,59.842692937
831.500000000,59.753193714
831.599975600,59.652848444
831.700012200,59.547980512
831.799987800,59.444364423
831.900024400,59.345923535
832.000000000,59.254393558
832.099975600,59.169791265
832.200012200,59.091330112
832.299987800,59.018467448
832.400024400,58.951825554
832.500000000,58.893771528
832.599975600,58.848440412
832.700012200,58.821065028
832.799987800,58.816658770
832.900024400,58.838215907
833.000000000,58.885005681
833.099975600,58.951799036
833.200012200,59.029652598
833.299987800,59.108232573
833.400024400,59.178893856
833.500000000,59.237278634
833.599975600,59.284259467
833.700012200,59.324523507
833.799987800,59.363183766
833.900024400,59.401707653
834.000000000,59.434748808
834.099975600,59.449071633
834.200012200,59.424877375
834.299987800,59.338950749
834.400024400,59.168457282
834.500000000,58.894007870
834.599975600,58.501141070
834.700012200,57.980020718
834.799987800,57.323814846
834.900024400,56.526634452
835.000000000,55.581987619
835.099975600,54.482479581
835.200012200,53.221047920
835.299987800,51.793353536
835.400024400,50.200536092
835.500000000,48.451230101
835.599975600,46.561984624
835.700012200,44.555751338
835.799987800,42.458870103
835.900024400,40.297547599
836.000000000,38.095103378
836.099975600,35.870889127
836.200012200,33.641110573
836.299987800,31.420889496
836.400024400,29.226481683
836.500000000,27.076491938
836.599975600,24.991492089
836.700012200,22.992093148
836.799987800,21.096271823
836.900024400,19.316997089
837.000000000,17.661030841
837.099975600,16.129191372
837.200012200,14.717819565
837.299987800,13.420725428
837.400024400,12.230927455
837.500000000,11.141651807
837.599975600,10.146555435
837.700012200,9.239461387
837.799987800,8.414030538
837.900024400,7.663676034
838.000000000,6.981789154
838.099975600,6.362118392
838.200012200,5.799114892
838.299987800,5.288034173
838.400024400,4.824783634
838.500000000,4.405625173
838.599975600,4.026900597
838.700012200,3.684911794
838.799987800,3.375969323
838.900024400,3.096550021
839.000000000,2.843482469
839.099975600,2.614050166
839.200012200,2.405981376
839.299987800,2.217338706
839.400024400,2.046368701
839.500000000,1.891382341
839.599975600,1.750705021
839.700012200,1.622701362
839.799987800,1.505850914
839.900024400,1.398822484
840.000000000,1.300513992
840.099975600,1.210039709
840.200012200,1.126681316
840.299987800,1.049831272
840.400024400,0.978956505
840.500000000,0.913577581
840.599975600,0.853252599
840.700012200,0.797556082
840.799987800,0.746057848
840.900024400,0.698318012
841.000000000,0.653913646
841.099975600,0.612491503
841.200012200,0.573829254
841.299987800,0.537858617
841.400024400,0.504624206
841.500000000,0.474185010
841.599975600,0.446498058
841.700012200,0.421344019
841.799987800,0.398330342
841.900024400,0.376967838
842.000000000,0.356794202
842.099975600,0.337486394
842.200012200,0.318915348
842.299987800,0.301125903
842.400024400,0.284257485
842.500000000,0.268449511
842.599975600,0.253765052
842.700012200,0.240153162
842.799987800,0.227463189
842.900024400,0.215494702
843.000000000,0.204059039
843.099975600,0.193028583
843.200012200,0.182358235
843.299987800,0.172080327
843.400024400,0.162277288
843.500000000,0.153045249
843.599975600,0.144466340
843.700012200,0.136592863
843.799987800,0.129443241
843.900024400,0.123002643
844.000000000,0.117223996
844.099975600,0.112030168
844.200012200,0.107319699
844.299987800,0.102978471
844.400024400,0.098895119
844.500000000,0.094972748
844.599975600,0.091133646
844.700012200,0.087316553
844.799987800,0.083475472
844.900024400,0.079586974
845.000000000,0.075668166
845.099975600,0.071794936
845.200012200,0.068101876
845.299987800,0.064751471
845.400024400,0.061875759
845.500000000,0.059513162
845.599975600,0.057574647
845.700012200,0.055861600
845.799987800,0.054136604
845.900024400,0.052218241
846.000000000,0.050055437
846.099975600,0.047745316
846.200012200,0.045483145
846.299987800,0.043469408
846.400024400,0.041819499
846.500000000,0.040517941
846.599975600,0.039436652
846.700012200,0.038402974
846.799987800,0.037280729
846.900024400,0.036025112
847.000000000,0.034686091
847.099975600,0.033365997
847.200012200,0.032157733
847.299987800,0.031096900
847.400024400,0.030150301
847.500000000,0.029241749
847.599975600,0.028298358
847.700012200,0.027292311
847.799987800,0.026254837
847.900024400,0.025256602
848.000000000,0.024367347
848.099975600,0.023615879
848.200012200,0.022969160
848.299987800,0.022344191
848.400024400,0.021637253
848.500000000,0.020766234
848.599975600,0.019712950
848.700012200,0.018502871
848.799987800,0.017230299
848.900024400,0.016027385
849.000000000,0.014940192
849.099975600,0.014178611
849.200012200,0.013725626
849.299987800,0.013439043
849.400024400,0.013908075
849.500000000,0.013888576
849.599975600,0.014027779
849.700012200,0.015352026
849.799987800,0.011606549
849.900024400,0.013376473
850.000000000,0.011207847
